Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
ERX4581853	21230328.0	983890.0	18164364.0	544293.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1504807.0	31233.0	1741.0	4.634360806860826	21230328.0	20686035.0	97.44	544293.0	2.56	ERX4581853_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21230328.0	0.0	20-36	49.0	6.220514313986725	35.52134851614163	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	2.6	21911248	6767989	21911248	788804928	11292814	755883972	4.173523114703462	0.0522	0.1946	0.7532		
ERX4581854	27144326.0	1058295.0	23852283.0	655251.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1540933.0	35760.0	1804.0	3.898770593898703	27144326.0	26489075.0	97.59	655251.0	2.41	ERX4581854_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27144326.0	0.0	20-36	50.0	5.3620756051645655	35.52080187955303	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	27859357	8349142	27859357	1002936852	16928986	966840509	3.5990643805757774	0.0422	0.176	0.7818		
ERX4581855	22326394.0	992398.0	19486180.0	532976.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1278125.0	35103.0	1612.0	4.444954254592121	22326394.0	21793418.0	97.61	532976.0	2.39	ERX4581855_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22326394.0	0.0	20-36	49.0	5.331249859303044	35.51420816097754	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	22991461	7150460	22991461	827692596	12479353	794883669	3.963902438967813	0.0423	0.1885	0.7692		
ERX4581856	38297043.0	1906519.0	33181047.0	1001452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2143050.0	61866.0	3109.0	4.978240748247847	38297043.0	37295591.0	97.39	1001452.0	2.61	ERX4581856_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38297043.0	0.0	20-36	49.0	4.959580714589996	35.52499134202085	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	39708891	12154339	39708891	1429520076	23856411	1364146686	4.573100517967122	0.0401	0.1891	0.7708		
ERX4581857	21267607.0	960977.0	18753083.0	450579.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1067546.0	33812.0	1610.0	4.518500835566503	21267607.0	20817028.0	97.88	450579.0	2.12	ERX4581857_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21267607.0	0.0	20-36	49.0	5.301180631312865	35.53519147687843	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	21728079	6508141	21728079	782210844	10153975	757359732	3.17703496322278	0.0355	0.1907	0.7737		
ERX4581858	24842653.0	1235659.0	21780423.0	547370.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1237450.0	39891.0	1860.0	4.9739413902371865	24842653.0	24295283.0	97.8	547370.0	2.2	ERX4581858_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24842653.0	0.0	20-36	49.0	5.424085940381784	35.53009918063099	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	2.6	25414403	7610311	25414403	914918508	13294036	884716233	3.3010890845373524	0.0359	0.1775	0.7866		
ERX4581859	22251745.0	1081083.0	20328273.0	499795.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300899.0	40024.0	1671.0	4.85841896893929	22251745.0	21751950.0	97.75	499795.0	2.25	ERX4581859_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22251745.0	0.0	20-36	50.0	4.354802154763612	35.54530873870791	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	23084304	7062612	23084304	831034944	10469746	792687657	4.61440126878708	0.0089	0.1397	0.8514		
ERX4581860	21492936.0	883666.0	19784667.0	498132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	293200.0	31968.0	1303.0	4.111425260839189	21492936.0	20994804.0	97.68	498132.0	2.32	ERX4581860_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21492936.0	0.0	20-36	50.0	3.9875761484515673	35.546618898413875	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	22554320	7101529	22554320	811955520	9833897	765580965	5.711464958080462	0.0088	0.1285	0.8627		
ERX4581861	30663848.0	1600378.0	27837183.0	688935.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	478629.0	56144.0	2579.0	5.219103616741121	30663848.0	29974913.0	97.75	688935.0	2.25	ERX4581861_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30663848.0	0.0	20-36	50.0	3.925283482088643	35.54525117004233	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	31895954	9797760	31895954	1148254344	15523930	1092491936	4.856276685681757	0.0104	0.1344	0.8552		
ERX4597138	21649326.0	1147714.0	19806949.0	346129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	310487.0	36274.0	1773.0	5.301384440328535	21649326.0	21303197.0	98.4	346129.0	1.6	ERX4597138_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21649326.0	0.0	20-36	50.0	4.38927225537649	35.550868604408286	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	22173227	6626543	22173227	798236172	9332056	771202629	3.386659731576283	0.0089	0.1358	0.8553		
